person	personLabel	SALproposedLabel	SALproposed	SALsignatorypersonalLabel	SALsignatorypersonal	SALsignatorygeneralLabel	SALsignatorygeneral	RAIproposed	RAIproposedLabel	RAIseconded	RAIsecondedLabel	date
https://beyond-notability.wikibase.cloud/entity/Q130	Gertrude Bell	Society of Antiquaries of London Council	https://beyond-notability.wikibase.cloud/entity/Q27	Charles Reed Peers	https://beyond-notability.wikibase.cloud/entity/Q55							1920-11-24T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q130	Gertrude Bell	Society of Antiquaries of London Council	https://beyond-notability.wikibase.cloud/entity/Q27	George Babington Croft Lyons	https://beyond-notability.wikibase.cloud/entity/Q62							1920-11-24T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q130	Gertrude Bell	Society of Antiquaries of London Council	https://beyond-notability.wikibase.cloud/entity/Q27	George Trevor Harley Thomas	https://beyond-notability.wikibase.cloud/entity/Q63							1920-11-24T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q60	Nina Frances Layard	Society of Antiquaries of London Council	https://beyond-notability.wikibase.cloud/entity/Q27	William Minet	https://beyond-notability.wikibase.cloud/entity/Q42							1921-03-03T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q60	Nina Frances Layard	Society of Antiquaries of London Council	https://beyond-notability.wikibase.cloud/entity/Q27	Arthur Evans	https://beyond-notability.wikibase.cloud/entity/Q43							1921-03-03T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q60	Nina Frances Layard	Society of Antiquaries of London Council	https://beyond-notability.wikibase.cloud/entity/Q27	Charles Lethbridge Kingsford	https://beyond-notability.wikibase.cloud/entity/Q48							1921-03-03T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q60	Nina Frances Layard	Society of Antiquaries of London Council	https://beyond-notability.wikibase.cloud/entity/Q27	Aymer Vallance	https://beyond-notability.wikibase.cloud/entity/Q49							1921-03-03T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q60	Nina Frances Layard	Society of Antiquaries of London Council	https://beyond-notability.wikibase.cloud/entity/Q27	Reginald Campbell Thompson	https://beyond-notability.wikibase.cloud/entity/Q52							1921-03-03T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q60	Nina Frances Layard	Society of Antiquaries of London Council	https://beyond-notability.wikibase.cloud/entity/Q27	Walter Henry, Baron Northborne	https://beyond-notability.wikibase.cloud/entity/Q54							1921-03-03T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q60	Nina Frances Layard	Society of Antiquaries of London Council	https://beyond-notability.wikibase.cloud/entity/Q27	Charles Reed Peers	https://beyond-notability.wikibase.cloud/entity/Q55							1921-03-03T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q60	Nina Frances Layard	Society of Antiquaries of London Council	https://beyond-notability.wikibase.cloud/entity/Q27	George Babington Croft Lyons	https://beyond-notability.wikibase.cloud/entity/Q62							1921-03-03T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q60	Nina Frances Layard	Society of Antiquaries of London Council	https://beyond-notability.wikibase.cloud/entity/Q27	George Trevor Harley Thomas	https://beyond-notability.wikibase.cloud/entity/Q63							1921-03-03T00:00:00Z
